,species_idx,mass_frequency,lambda_inst_nut,lambda_max_nut,delta
99999,1,1.0,0.060460826874388064,0.7863133743598113,0.05
99999,2,0.0,0.06292122100466939,0.8183116269615488,0.05
99999,3,0.0,0.06309208509199529,0.8205337718445697,0.05
99999,4,0.0,0.06351564431364466,0.8260423018801955,0.05
99999,5,0.0,0.06363670608696789,0.8276167509310749,0.05
99999,6,0.0,0.06390344714205541,0.8310858080040442,0.05
99999,7,0.0,0.06393213350250777,0.8314588837632008,0.05
99999,8,0.0,0.06504100580713569,0.8458801407764004,0.05
99999,9,0.0,0.06545501652264911,0.8512644892804793,0.05
99999,10,0.0,0.0659037255889261,0.8571001014983392,0.05
99999,11,0.0,0.06670808370327919,0.8675610491199238,0.05
99999,12,0.0,0.06677498503723407,0.8684311234535174,0.05
99999,13,0.0,0.06691641218276564,0.8702704310147593,0.05
99999,14,0.0,0.06698788548588228,0.8711999653439381,0.05
99999,15,0.0,0.06723980568460294,0.8744762721985729,0.05
99999,16,0.0,0.06748660215801461,0.877685943283482,0.05
99999,17,0.0,0.06809808671007662,0.8856385054027486,0.05
99999,18,0.0,0.06882185395389442,0.8950513416664642,0.05
99999,19,0.0,0.06926663990099664,0.9008359324008975,0.05
99999,20,0.0,0.0695136195995549,0.9040479863904202,0.05
99999,21,0.0,0.06993958707888868,0.9095878366266461,0.05
99999,22,0.0,0.07024786664693997,0.9135971160217857,0.05
99999,23,0.0,0.07059215025226633,0.9180746400226295,0.05
99999,24,0.0,0.0706223244023372,0.9184670649858203,0.05
99999,25,0.0,0.07072504269046656,0.9198029508465159,0.05
99999,26,0.0,0.07238022433993173,0.9413291445036641,0.05
99999,27,0.0,0.07255581341548002,0.943612739446584,0.05
99999,28,0.0,0.0727523115248828,0.9461682634022988,0.05
99999,29,0.0,0.07293569429147607,0.9485532179167147,0.05
99999,30,0.0,0.07300333584178141,0.9494329190127321,0.05
99999,31,0.0,0.07313147139929624,0.9510993650045193,0.05
99999,32,0.0,0.07357968729625933,0.956928563389698,0.05
99999,33,0.0,0.07376600548435146,0.9593516940473005,0.05
99999,34,0.0,0.07378894987344302,0.9596500935390359,0.05
99999,35,0.0,0.0741403488716297,0.9642201556155086,0.05
99999,36,0.0,0.07436891901597562,0.9671927871650562,0.05
99999,37,0.0,0.07467269659762814,0.9711435167139643,0.05
99999,38,0.0,0.07473929758079192,0.9720096848845716,0.05
99999,39,0.0,0.07478707240021355,0.9726310124682466,0.05
99999,40,0.0,0.07492014458195309,0.9743616609172734,0.05
99999,41,0.0,0.07497062105882403,0.9750181244641025,0.05
99999,42,0.0,0.07556067009321989,0.9826919104716522,0.05
99999,43,0.0,0.07560277287921997,0.9832394713543118,0.05
99999,44,0.0,0.07620299342611912,0.9910455413006077,0.05
99999,45,0.0,0.07689427937575262,1.0000359474165073,0.05
99999,46,0.0,0.07702248660851363,1.001703325568961,0.05
99999,47,0.0,0.07715771159889895,1.0034619720179843,0.05
99999,48,0.0,0.07722359727197797,1.0043188373405239,0.05
99999,49,0.0,0.07738145883805626,1.0063718800645778,0.05
99999,50,0.0,0.07738917018150908,1.006472168677961,0.05
99999,51,0.0,0.07769411252229082,1.0104380463108196,0.05
99999,52,0.0,0.07769874097582066,1.0104982409045964,0.05
99999,53,0.0,0.07771908861790068,1.010762868828681,0.05
99999,54,0.0,0.07785639490225042,1.0125485832052337,0.05
99999,55,0.0,0.07800861282197738,1.0145282284116612,0.05
99999,56,0.0,0.07818518893786397,1.0168246601459243,0.05
99999,57,0.0,0.07843700776847866,1.020099648674271,0.05
99999,58,0.0,0.07845825370923495,1.0203759592745585,0.05
99999,59,0.0,0.07852511299940947,1.0212454868146572,0.05
99999,60,0.0,0.07867921136286932,1.0232495878238475,0.05
99999,61,0.0,0.07921223776963772,1.030181775393821,0.05
99999,62,0.0,0.0794600159241344,1.0334042135711834,0.05
99999,63,0.0,0.07974420442967944,1.0371001806014333,0.05
99999,64,0.0,0.0797449735249501,1.0371101829439209,0.05
99999,65,0.0,0.07996426327292058,1.0399621198194688,0.05
99999,66,0.0,0.08045380915618978,1.0463288285675494,0.05
99999,67,0.0,0.0805083811200405,1.047038555299042,0.05
99999,68,0.0,0.0808947573698506,1.0520635082887169,0.05
